Frame Time: 0 ms, FPS: 0
Frame Time: 19.4884 ms, FPS: 1539
Frame Time: 3.6336 ms, FPS: 1539
Frame Time: 2.2349 ms, FPS: 1539
Frame Time: 0.7094 ms, FPS: 1539
Frame Time: 0.7021 ms, FPS: 1539
Frame Time: 0.556 ms, FPS: 1539
Frame Time: 0.5649 ms, FPS: 1539
Frame Time: 0.6806 ms, FPS: 1539
Frame Time: 0.6878 ms, FPS: 1539
Frame Time: 0.6349 ms, FPS: 1539
Frame Time: 0.7628 ms, FPS: 1539
Frame Time: 1.223 ms, FPS: 1539
Frame Time: 0.7004 ms, FPS: 1539
Frame Time: 0.6947 ms, FPS: 1539
Frame Time: 0.6434 ms, FPS: 1539
Frame Time: 0.7576 ms, FPS: 1539
Frame Time: 0.6403 ms, FPS: 1539
Frame Time: 0.6326 ms, FPS: 1539
Frame Time: 0.6419 ms, FPS: 1491
Frame Time: 0.6445 ms, FPS: 1491
Frame Time: 5.5953 ms, FPS: 1491
Frame Time: 0.7018 ms, FPS: 1491
Frame Time: 0.6826 ms, FPS: 1491
Frame Time: 0.8474 ms, FPS: 1491
Frame Time: 0.6725 ms, FPS: 1491
Frame Time: 0.7653 ms, FPS: 1491
Frame Time: 0.7147 ms, FPS: 1491
Frame Time: 0.611 ms, FPS: 1491
Frame Time: 0.5982 ms, FPS: 1491
Frame Time: 0.6288 ms, FPS: 1491
Frame Time: 1.0401 ms, FPS: 1491
Frame Time: 0.9278 ms, FPS: 1491
Frame Time: 1.224 ms, FPS: 1491
Frame Time: 0.5772 ms, FPS: 1491
Frame Time: 0.5284 ms, FPS: 1449
Frame Time: 0.5322 ms, FPS: 1449
Frame Time: 0.5817 ms, FPS: 1449
Frame Time: 0.5831 ms, FPS: 1449
Frame Time: 0.5038 ms, FPS: 1449
Frame Time: 0.5485 ms, FPS: 1449
Frame Time: 0.5185 ms, FPS: 1449
Frame Time: 0.5275 ms, FPS: 1449
Frame Time: 0.5069 ms, FPS: 1449
Frame Time: 0.7504 ms, FPS: 1449
Frame Time: 0.7529 ms, FPS: 1449
Frame Time: 0.5201 ms, FPS: 1449
Frame Time: 0.5088 ms, FPS: 1449
Frame Time: 0.5567 ms, FPS: 1449
Frame Time: 0.9487 ms, FPS: 1449
Frame Time: 0.8237 ms, FPS: 1449
Frame Time: 0.6954 ms, FPS: 1449
Frame Time: 0.5382 ms, FPS: 1449
Frame Time: 0.5173 ms, FPS: 1449
Frame Time: 0.5103 ms, FPS: 1449
